時間,データ,分単位からカウント,状態,
2024/1/21 17:26,1348,1,エアコン動作中,
2024/1/21 17:27,1351,2,エアコン動作中,
2024/1/21 17:28,1316,3,エアコン動作中,
2024/1/21 17:29,226,4,エアコン停止中,
2024/1/21 17:30,273,5,エアコン停止中,
2024/1/21 17:31,222,6,エアコン停止中,
2024/1/21 17:32,216,7,エアコン停止中,
2024/1/21 17:33,266,8,エアコン停止中,
2024/1/21 17:34,213,9,エアコン停止中,
2024/1/21 17:35,648,10,エアコン起動中,
2024/1/21 17:36,1445,11,エアコン動作中,
2024/1/21 17:37,1256,12,エアコン動作中,
2024/1/21 17:38,1340,13,エアコン動作中,17:26から実験スタート
2024/1/21 17:39,1310,14,エアコン動作中,
2024/1/21 17:40,1289,15,エアコン動作中,
2024/1/21 17:41,1009,16,エアコン動作中,
2024/1/21 17:42,972,17,エアコン動作中+シャワー開始,
2024/1/21 17:43,964,18,エアコン動作中,
2024/1/21 17:44,955,19,エアコン動作中,
2024/1/21 17:45,1005,20,エアコン動作中,
2024/1/21 17:46,1212,21,エアコン動作中+シャワー終了,
2024/1/21 17:47,1282,22,エアコン動作中,
2024/1/21 17:48,1239,23,エアコン動作中,
2024/1/21 17:49,2131,24,ドライヤー使用中+エアコン動作中,
2024/1/21 17:50,2163,25,ドライヤー使用中+エアコン動作中,
2024/1/21 17:51,969,26,ドライヤー終了+エアコン動作中,
2024/1/21 17:52,1011,27,エアコン動作中,
2024/1/21 17:53,955,28,エアコン動作中,
2024/1/21 17:54,960,29,エアコン動作中,
2024/1/21 17:55,1378,30,エアコン動作中,
2024/1/21 17:56,1350,31,エアコン動作中,
2024/1/21 17:57,988,32,エアコン動作中,
2024/1/21 17:58,941,33,エアコン動作中,
2024/1/21 17:59,942,34,エアコン動作中,
2024/1/21 18:00,909,35,エアコン動作中,
2024/1/21 18:01,834,36,エアコン動作中,
2024/1/21 18:02,831,37,エアコン動作中,
2024/1/21 18:03,827,38,エアコン動作中,
2024/1/21 18:04,853,39,エアコン動作中,
2024/1/21 18:05,869,40,エアコン動作中,
2024/1/21 18:06,836,41,別ノートPC起動(プログラム実施中ノートPCの充電器は挿していない。)+エアコン動作中,
2024/1/21 18:07,837,42,,
2024/1/21 18:08,757,43,,
2024/1/21 18:09,780,44,,
2024/1/21 18:10,859,45,テレビ点灯+別ノートPC＋エアコン動作中,
2024/1/21 18:11,826,46,テレビ点灯+別ノートPC＋エアコン動作中,
2024/1/21 18:12,870,47,テレビ点灯+別ノートPC＋エアコン動作中,
2024/1/21 18:13,672,48,テレビ点灯+別ノートPC＋エアコン動作中,
2024/1/21 18:14,696,49,テレビ点灯+別ノートPC＋エアコン動作中,
2024/1/21 18:15,1239,50,テレビ点灯+別ノートPC+600W電子レンジで3:30温め+エアコン動作中,
2024/1/21 18:16,2297,51,テレビ点灯+別ノートPC+600W電子レンジで3:30温め+エアコン動作中,
2024/1/21 18:17,1923,52,テレビ点灯+別ノートPC+600W電子レンジで3:30温め+エアコン動作中,
2024/1/21 18:18,1748,53,テレビ点灯+別ノートPC+600W電子レンジで3:30温め+エアコン動作中,
2024/1/21 18:19,690,54,テレビ点灯＋別ノートPC＋電子レンジ終了+エアコン動作中,
2024/1/21 18:20,726,55,テレビ点灯＋別ノートPC＋エアコン動作中,
2024/1/21 18:21,677,56,テレビ点灯＋別ノートPC＋エアコン動作中,
2024/1/21 18:22,676,57,テレビ点灯＋別ノートPC＋エアコン動作中,
2024/1/21 18:23,753,58,テレビ点灯＋別ノートPC＋エアコン動作中,
2024/1/21 18:24,686,59,テレビ点灯＋別ノートPC＋エアコン動作中,
2024/1/21 18:25,723,60,テレビ点灯＋別ノートPC＋エアコン動作中,
2024/1/21 18:26,674,61,テレビ点灯＋別ノートPC＋エアコン動作中,
2024/1/21 18:27,675,62,テレビ点灯＋別ノートPC＋エアコン動作中,
2024/1/21 18:28,760,63,テレビ点灯＋別ノートPC＋エアコン動作中,
2024/1/21 18:29,688,64,テレビ点灯＋別ノートPC＋エアコン動作中,
2024/1/21 18:30,732,65,テレビ点灯＋別ノートPC＋エアコン動作中,
2024/1/21 18:31,674,66,テレビ点灯＋別ノートPC＋エアコン動作中,
2024/1/21 18:32,700,67,テレビ点灯＋別ノートPC＋エアコン動作中,
2024/1/21 18:33,598,68,テレビ点灯＋別ノートPC＋エアコン動作中,
2024/1/21 18:34,670,69,テレビ点灯＋別ノートPC＋エアコン動作中,
2024/1/21 18:35,740,70,テレビ点灯＋別ノートPC＋エアコン動作中,
2024/1/21 18:36,312,71,テレビ点灯＋別ノートPC＋エアコン動作中,
2024/1/21 18:37,575,72,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 18:38,655,73,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 18:39,669,74,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 18:40,854,75,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 18:41,826,76,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 18:42,750,77,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 18:43,710,78,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 18:44,712,79,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 18:45,613,80,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 18:46,318,81,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 18:47,1024,82,IHでお湯沸かし+テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 18:48,1400,83,IHでお湯沸かし+テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 18:49,1708,84,IHでお湯沸かし+テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 18:50,1752,85,IHでお湯沸かし+テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 18:51,2044,86,IHでお湯沸かし+テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 18:52,1931,87,IHでお湯沸かし+テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 18:53,1910,88,IHでお湯沸かし+テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 18:54,2174,89,IHでお湯沸かし+テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 18:55,1787,90,IHでお湯沸かし+テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 18:56,569,91,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 18:57,374,92,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 18:58,316,93,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 18:59,317,94,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:00,606,95,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:01,649,96,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:02,702,97,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:03,784,98,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:04,838,99,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:05,797,100,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:06,671,101,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:07,726,102,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:08,684,103,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:09,573,104,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:10,276,105,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:11,292,106,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:12,347,107,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:13,610,108,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:14,1055,109,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:15,660,110,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:16,773,111,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:17,786,112,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:18,671,113,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:19,676,114,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:20,680,115,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:21,560,116,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:22,319,117,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:23,306,118,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:24,350,119,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
2024/1/21 19:25,618,120,テレビ点灯＋別ノートPC＋プログラム実施中ノートPC+エアコン動作中,
